#input, Strategy, Shape Filter, Container Height, Rotations Allowed, Number of rectangles, Input sorted, Fill rate, # Mutations
47, SimulatedAnnealing, None, 88, true, 10, -, 0.929236, 200
47, SimulatedAnnealing, None, 88, true, 10, -, 0.8848283, 300
47, SimulatedAnnealing, None, 88, true, 10, -, 0.89798564, 400
47, SimulatedAnnealing, None, 88, true, 10, -, 0.89798564, 500
47, SimulatedAnnealing, None, 88, true, 10, -, 0.8689142, 600
47, SimulatedAnnealing, None, 88, true, 10, -, 0.85892665, 700
47, SimulatedAnnealing, None, 88, true, 10, -, 0.8657998, 800
48, SimulatedAnnealing, None, 19, true, 25, -, 0.86668766, 100
48, SimulatedAnnealing, None, 19, true, 25, -, 0.856431, 200
48, SimulatedAnnealing, None, 19, true, 25, -, 0.85139316, 300
48, SimulatedAnnealing, None, 19, true, 25, -, 0.877193, 400
48, SimulatedAnnealing, None, 19, true, 25, -, 0.877193, 500
48, SimulatedAnnealing, None, 19, true, 25, -, 0.85139316, 600
48, SimulatedAnnealing, None, 19, true, 25, -, 0.877193, 700
48, SimulatedAnnealing, None, 19, true, 25, -, 0.8615288, 800
49, SimulatedAnnealing, None, 28, true, 10, -, 0.9116541, 100
49, SimulatedAnnealing, None, 28, true, 10, -, 0.9116541, 200
49, SimulatedAnnealing, None, 28, true, 10, -, 0.9116541, 300
49, SimulatedAnnealing, None, 28, true, 10, -, 0.89593595, 400
49, SimulatedAnnealing, None, 28, true, 10, -, 0.9116541, 500
49, SimulatedAnnealing, None, 28, true, 10, -, 0.9116541, 600
49, SimulatedAnnealing, None, 28, true, 10, -, 0.9116541, 700
49, SimulatedAnnealing, None, 28, true, 10, -, 0.92911875, 800
50, SimulatedAnnealing, None, 175, true, 25, -, 0.8459771, 100
